,inducted,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,seasons
273,0,1626,5321.0,938.0,1430.0,239.0,26.0,282.0,934.0,349.0,66.0,740.0,1398.0,59.0,33.0,3.0,50.0,112.0,18
274,0,1760,6288.0,894.0,1710.0,348.0,17.0,239.0,983.0,88.0,39.0,727.0,1163.0,111.0,29.0,14.0,67.0,152.0,16
275,0,1472,5013.0,798.0,1273.0,233.0,19.0,310.0,965.0,6.0,24.0,792.0,1406.0,41.0,56.0,12.0,54.0,123.0,16
276,0,1146,3889.0,544.0,1001.0,200.0,8.0,141.0,531.0,57.0,30.0,348.0,699.0,12.0,47.0,31.0,41.0,84.0,11
277,0,2033,7127.0,973.0,2060.0,409.0,26.0,204.0,1106.0,60.0,39.0,833.0,825.0,108.0,38.0,26.0,91.0,168.0,16
278,0,1941,7344.0,1125.0,1934.0,378.0,71.0,208.0,846.0,346.0,98.0,541.0,1526.0,32.0,87.0,61.0,47.0,98.0,17
279,0,2502,8872.0,1571.0,2605.0,430.0,113.0,170.0,980.0,808.0,146.0,1330.0,966.0,148.0,42.0,39.0,76.0,142.0,24
280,0,1698,6481.0,895.0,1776.0,345.0,40.0,223.0,1022.0,72.0,38.0,602.0,1369.0,19.0,41.0,15.0,78.0,154.0,13
281,0,1814,5927.0,736.0,1597.0,292.0,62.0,150.0,668.0,212.0,82.0,203.0,1000.0,44.0,41.0,56.0,49.0,98.0,21
282,0,1610,5625.0,929.0,1571.0,280.0,24.0,305.0,1017.0,53.0,46.0,903.0,999.0,85.0,18.0,1.0,54.0,101.0,15
283,0,1632,6366.0,1132.0,1839.0,322.0,64.0,98.0,615.0,407.0,117.0,804.0,730.0,22.0,139.0,20.0,56.0,116.0,12
284,0,1834,6499.0,1062.0,1661.0,338.0,67.0,210.0,761.0,315.0,100.0,960.0,1190.0,59.0,154.0,74.0,50.0,65.0,16
285,1,3081,10961.0,2295.0,3055.0,510.0,66.0,297.0,1115.0,1406.0,335.0,2190.0,1694.0,61.0,98.0,30.0,67.0,172.0,29
286,0,1866,7000.0,997.0,1878.0,338.0,35.0,378.0,1218.0,53.0,35.0,469.0,1363.0,86.0,55.0,9.0,62.0,182.0,17
287,0,1512,5532.0,861.0,1620.0,270.0,10.0,328.0,1064.0,30.0,18.0,725.0,1429.0,144.0,108.0,0.0,45.0,135.0,12
288,0,2063,7398.0,1123.0,1963.0,394.0,67.0,195.0,860.0,91.0,60.0,853.0,1443.0,25.0,57.0,159.0,58.0,165.0,18
289,0,1832,6449.0,1080.0,1651.0,302.0,50.0,321.0,1008.0,243.0,102.0,770.0,1411.0,38.0,32.0,12.0,57.0,98.0,18
290,0,1731,6103.0,1017.0,1475.0,284.0,23.0,355.0,1072.0,121.0,59.0,865.0,1513.0,54.0,37.0,11.0,54.0,101.0,16
291,1,2379,9073.0,1508.0,2724.0,504.0,80.0,210.0,1134.0,474.0,114.0,1032.0,1140.0,62.0,50.0,148.0,97.0,206.0,19
292,1,2180,7937.0,1329.0,2340.0,441.0,76.0,198.0,960.0,379.0,77.0,939.0,817.0,66.0,55.0,59.0,67.0,178.0,19
293,0,2055,7213.0,1219.0,2247.0,514.0,15.0,309.0,1261.0,49.0,30.0,1283.0,1202.0,113.0,89.0,10.0,77.0,190.0,18
294,0,2460,8757.0,1349.0,2490.0,441.0,24.0,493.0,1550.0,72.0,38.0,1305.0,1882.0,171.0,39.0,2.0,71.0,226.0,21
295,0,2257,8096.0,1195.0,2333.0,444.0,32.0,399.0,1425.0,128.0,81.0,583.0,2003.0,106.0,178.0,1.0,58.0,179.0,20
296,0,1755,6441.0,797.0,1724.0,324.0,11.0,284.0,1027.0,59.0,30.0,552.0,1167.0,21.0,31.0,0.0,76.0,181.0,14
297,0,2000,7232.0,1253.0,2107.0,402.0,63.0,352.0,1206.0,181.0,84.0,793.0,1340.0,33.0,60.0,29.0,62.0,171.0,19
298,0,1456,4847.0,683.0,1412.0,284.0,16.0,139.0,684.0,17.0,19.0,524.0,687.0,56.0,14.0,19.0,45.0,131.0,18
299,0,1701,5747.0,968.0,1561.0,356.0,54.0,238.0,874.0,258.0,117.0,828.0,1550.0,68.0,36.0,10.0,53.0,77.0,15
300,0,2150,7797.0,1517.0,2314.0,488.0,32.0,449.0,1529.0,202.0,78.0,1401.0,1558.0,155.0,128.0,3.0,102.0,221.0,15
301,0,1988,6907.0,1355.0,2160.0,471.0,62.0,383.0,1311.0,230.0,76.0,913.0,1231.0,117.0,138.0,7.0,65.0,153.0,18
302,0,2831,10472.0,1663.0,3020.0,585.0,38.0,569.0,1835.0,97.0,40.0,1353.0,1348.0,171.0,87.0,15.0,119.0,231.0,20
303,0,1689,6556.0,1061.0,1936.0,388.0,25.0,434.0,1404.0,26.0,19.0,457.0,1273.0,74.0,62.0,2.0,78.0,184.0,17
304,0,2023,7111.0,1008.0,1925.0,365.0,21.0,339.0,1271.0,27.0,20.0,780.0,1069.0,102.0,59.0,14.0,80.0,191.0,16
305,0,2165,8275.0,1187.0,2251.0,386.0,56.0,227.0,967.0,429.0,116.0,553.0,1240.0,44.0,31.0,38.0,62.0,171.0,17
306,0,2234,7592.0,1139.0,2239.0,500.0,13.0,255.0,1230.0,11.0,14.0,1275.0,1016.0,157.0,88.0,12.0,96.0,232.0,18
307,0,2313,8258.0,1062.0,2326.0,440.0,42.0,188.0,1153.0,141.0,84.0,640.0,839.0,81.0,33.0,71.0,104.0,169.0,20
308,0,1780,6683.0,927.0,1775.0,366.0,28.0,252.0,1021.0,94.0,53.0,552.0,1295.0,32.0,69.0,55.0,73.0,168.0,15
309,0,1978,6951.0,755.0,1830.0,323.0,41.0,217.0,920.0,91.0,69.0,430.0,1270.0,52.0,38.0,26.0,70.0,205.0,20
310,0,1630,5439.0,731.0,1583.0,279.0,17.0,134.0,774.0,59.0,24.0,291.0,580.0,41.0,73.0,26.0,66.0,158.0,16
311,0,1362,4910.0,736.0,1336.0,270.0,33.0,187.0,709.0,91.0,53.0,649.0,796.0,36.0,37.0,12.0,52.0,83.0,11
312,0,1188,3836.0,465.0,940.0,211.0,4.0,167.0,570.0,6.0,10.0,475.0,997.0,29.0,25.0,18.0,31.0,112.0,14
313,0,1525,5814.0,909.0,1589.0,319.0,49.0,271.0,860.0,229.0,92.0,475.0,1130.0,50.0,41.0,2.0,37.0,93.0,16
